"SampleID","Enzyme","Template","Amplicon","AA","AC","AT","AG","CA","CC","CT","CG","TA","TC","TT","TG","GA","GC","GT","GG","Deletion","Insertion","D1","DX","I1","IX","Total","ErrorSub","ErrorDelSingle","ErrorInsSingle","RateSub","RateDelSingle","RateInsSingle","RateSubSingleFraction","RateDelSingleFraction","RateInsSingleFraction","RateTotal"
20,"ProtoScript II Reverse Transcriptase","5mU","DNA-4",946375,9,5,64,6,867927,32,9,20,56,923231,1,7,2,0,863078,45,12,12,1,7,2,3600822,211,13,9,5.85977312957986e-05,3.61028676230039e-06,2.49942929697719e-06,0.905579399141631,0.055793991416309,0.0386266094420601,6.47074473550761e-05
21,"ProtoScript II Reverse Transcriptase","5hmU","DNA-1",2559648,31,15,153,12,2162930,75,11,56,96,2523197,3,17,4,8,2168213,21,8,21,0,6,1,9414469,481,21,7,5.10915697953862e-05,2.23060907630584e-06,7.43536358768615e-07,0.944990176817289,0.0412573673870334,0.0137524557956778,5.40657152304607e-05
22,"ProtoScript II Reverse Transcriptase","5hmU","DNA-2",1809675,28,12,131,37,1757374,52,21,57,89,1820754,6,17,5,4,1728491,21,16,19,1,11,1,7116753,459,20,12,6.44957047125283e-05,2.81027035784437e-06,1.68616221470662e-06,0.934826883910387,0.0407331975560081,0.0244399185336049,6.89921372850793e-05
23,"ProtoScript II Reverse Transcriptase","5hmU","DNA-3",618765,4,4,31,9,611935,16,4,14,31,621632,0,3,0,3,612961,12,5,10,1,5,0,2465412,119,11,5,4.82677945917356e-05,4.4617289118411e-06,2.02805859629141e-06,0.881481481481482,0.0814814814814815,0.037037037037037,5.47575820998681e-05
24,"ProtoScript II Reverse Transcriptase","5hmU","DNA-4",817365,10,7,63,5,742456,25,16,19,32,796522,2,7,1,1,739309,7,9,7,0,6,1,3095840,188,7,7,6.0726652540183e-05,2.26109876479405e-06,2.26109876479405e-06,0.930693069306931,0.0346534653465347,0.0346534653465347,6.5248850069771e-05
25,"M-MuLV Reverse Transcriptase","Regular","DNA-1",868819,16,10,96,6,741612,60,15,43,57,857242,0,8,6,8,743413,9,4,9,0,2,1,3211411,325,9,3,0.000101201621343391,2.80250643720159e-06,9.3416881240053e-07,0.964391691394659,0.0267062314540059,0.00890207715133531,0.000104938296592993
26,"M-MuLV Reverse Transcriptase","Regular","DNA-2",2326321,34,18,207,13,2247782,98,24,73,114,2348838,4,16,4,7,2208269,73,19,36,8,16,1,9131822,612,44,17,6.70183891013206e-05,4.8183155563041e-06,1.86162191948113e-06,0.909361069836553,0.0653789004457652,0.025260029717682,7.36983265771059e-05
27,"M-MuLV Reverse Transcriptase","Regular","DNA-3",447074,7,6,33,6,439834,9,12,15,13,448439,1,7,1,0,440160,18,30,11,3,12,1,1775617,110,14,13,6.1950296713762e-05,7.88458321811517e-06,7.32139870253551e-06,0.802919708029197,0.102189781021898,0.0948905109489051,7.71562786344127e-05
28,"M-MuLV Reverse Transcriptase","Regular","DNA-4",709603,20,5,75,17,648758,35,12,45,60,692437,4,14,4,5,645769,31,11,10,2,7,2,2696863,296,12,9,0.000109757151178981,4.44961423698571e-06,3.33721067773928e-06,0.933753943217666,0.0378548895899054,0.028391167192429,0.000117543976093706
29,"M-MuLV Reverse Transcriptase","N6mA","DNA-1",952041,13,10,95,14,884989,67,21,45,69,938840,2,3,3,1,881850,26,12,22,2,7,2,3658063,343,24,9,9.37654709609977e-05,6.56084928006981e-06,2.46031848002618e-06,0.912234042553192,0.0638297872340425,0.023936170212766,0.000102786638721094
30,"M-MuLV Reverse Transcriptase","N6mA","DNA-2",1100335,14,14,96,8,1033099,47,16,32,49,1113369,4,12,3,5,1013305,19,1,15,2,1,0,4260408,300,17,1,7.04157911636632e-05,3.99022816594091e-06,2.34719303878877e-07,0.943396226415094,0.0534591194968553,0.00314465408805031,7.4640738633483e-05
31,"M-MuLV Reverse Transcriptase","N6mA","DNA-3",485169,9,4,50,11,478535,13,10,13,24,487376,2,7,0,1,479076,16,4,16,0,4,0,1930300,144,16,4,7.45998031394084e-05,8.28886701548982e-06,2.07221675387245e-06,0.878048780487805,0.0975609756097561,0.024390243902439,8.49608869087707e-05
32,"M-MuLV Reverse Transcriptase","N6mA","DNA-4",670909,9,7,59,10,606101,24,12,28,30,654700,4,10,1,3,603104,10,16,10,0,8,3,2535011,197,10,11,7.77116943476774e-05,3.94475605825774e-06,4.33923166408351e-06,0.903669724770642,0.0458715596330275,0.0504587155963303,8.59956820700186e-05
33,"M-MuLV Reverse Transcriptase","P-U","DNA-1",1486482,29,21,158,16,1387649,81,21,74,79,1464578,1,10,5,9,1380853,26,4,22,2,4,0,5720066,504,24,4,8.81108714479868e-05,4.19575578323747e-06,6.99292630539578e-07,0.947368421052632,0.0451127819548872,0.0075187969924812,9.30059198617638e-05
34,"M-MuLV Reverse Transcriptase","P-U","DNA-2",683889,12,5,64,3,642948,38,3,19,30,691981,1,7,1,3,629339,12,1,12,0,1,0,2648343,186,12,1,7.02325944939911e-05,4.53113512864459e-06,3.77594594053716e-07,0.934673366834171,0.0603015075376884,0.0050251256281407,7.51413242166895e-05
35,"M-MuLV Reverse Transcriptase","P-U","DNA-3",690301,3,5,56,6,681834,35,10,20,25,693331,3,2,0,1,682963,22,31,15,3,4,1,2748595,166,18,5,6.03944924588744e-05,6.54880038710687e-06,1.8191112186408e-06,0.878306878306878,0.0952380952380952,0.0264550264550265,6.87624040646221e-05
36,"M-MuLV Reverse Transcriptase","P-U","DNA-4",669139,7,8,43,6,626045,22,5,24,15,651231,0,12,3,2,622272,8,11,8,0,5,3,2568834,147,8,8,5.72244060924139e-05,3.11425339278443e-06,3.11425339278443e-06,0.901840490797546,0.049079754601227,0.049079754601227,6.34529128779828e-05
37,"M-MuLV Reverse Transcriptase","5mC","DNA-1",1291480,39,20,146,21,1212351,83,31,59,76,1271349,4,14,13,12,1205760,25,29,14,5,15,3,4981458,518,19,18,0.000103985620274225,3.81414437299281e-06,3.61339993230897e-06,0.933333333333333,0.0342342342342342,0.0324324324324324,0.000111413164579527
38,"M-MuLV Reverse Transcriptase","5mC","DNA-2",2188816,15,12,278,24,2075272,46,7,5,17,2208170,1,18,1,1,2034559,24,8,24,0,5,1,8507242,425,24,6,4.99574362643028e-05,2.82112581257239e-06,7.05281453143099e-07,0.934065934065934,0.0527472527472527,0.0131868131868132,5.34838435300183e-05
39,"M-MuLV Reverse Transcriptase","5mC","DNA-3",494723,8,5,50,12,487838,18,5,17,19,496779,1,7,2,4,488826,20,11,16,2,11,0,1968314,148,18,11,7.51912550538176e-05,9.14488237141025e-06,5.58853922697293e-06,0.836158192090396,0.101694915254237,0.0621468926553672,8.99246766522008e-05
40,"M-MuLV Reverse Transcriptase","5mC","DNA-4",718005,18,6,66,15,670791,28,11,26,45,698512,4,16,3,5,666411,11,9,7,2,5,2,2753962,243,9,7,8.82365116149025e-05,3.26801894870009e-06,2.54179251565563e-06,0.938223938223938,0.0347490347490347,0.027027027027027,9.40463230792582e-05
41,"M-MuLV Reverse Transcriptase","5mU","DNA-1",1069562,25,10,104,14,993330,57,29,41,62,1051344,5,7,2,5,988020,33,3,18,3,3,0,4102617,361,21,3,8.79926154452146e-05,5.11868400096816e-06,7.3124057156688e-07,0.937662337662338,0.0545454545454545,0.00779220779220779,9.38425400177496e-05
42,"M-MuLV Reverse Transcriptase","5mU","DNA-2",1946334,15,14,239,16,1837886,51,5,8,20,1964448,0,13,2,4,1800095,13,5,13,0,2,1,7549150,387,13,3,5.12640495949875e-05,1.7220481776094e-06,3.97395733294477e-07,0.96029776674938,0.032258064516129,0.00744416873449132,5.33834935058914e-05
43,"M-MuLV Reverse Transcriptase","5mU","DNA-3",647961,11,3,57,16,635622,18,13,18,23,649875,2,1,2,1,635660,45,12,12,3,12,0,2569283,165,15,12,6.42202513308188e-05,5.83820466643807e-06,4.67056373315045e-06,0.859375,0.078125,0.0625,7.47290197304073e-05
44,"M-MuLV Reverse Transcriptase","5mU","DNA-4",700636,16,6,67,7,657426,30,12,32,36,681763,2,6,7,2,653402,8,14,8,0,8,2,2693450,223,8,10,8.27934433533201e-05,2.97016837141956e-06,3.71271046427444e-06,0.925311203319502,0.033195020746888,0.04149377593361,8.94763221890141e-05
45,"M-MuLV Reverse Transcriptase","5hmU","DNA-1",623612,7,8,77,10,579123,37,25,28,40,612722,1,8,2,3,576406,13,4,13,0,2,1,2392109,246,13,3,0.00010283812317917,5.43453496475286e-06,1.25412345340451e-06,0.938931297709924,0.049618320610687,0.0114503816793893,0.000109526781597327
46,"M-MuLV Reverse Transcriptase","5hmU","DNA-2",2082991,19,9,210,30,1947435,55,2,3,19,2101091,2,8,3,5,1906675,17,3,15,1,3,0,8038557,365,16,3,4.54061593392944e-05,1.99040698473619e-06,3.73201309638036e-07,0.950520833333333,0.0416666666666667,0.0078125,4.77697676336686e-05
47,"M-MuLV Reverse Transcriptase","5hmU","DNA-3",506843,5,5,42,4,499619,13,5,17,29,508429,4,6,1,0,499251,4,1,4,0,1,0,2014273,131,4,1,6.50358715030187e-05,1.98582813749675e-06,4.96457034374189e-07,0.963235294117647,0.0294117647058823,0.00735294117647059,6.75181566748897e-05
48,"M-MuLV Reverse Transcriptase","5hmU","DNA-4",571796,8,7,50,6,536473,27,6,33,39,556102,6,14,3,1,533098,12,13,12,0,8,2,2197669,200,12,10,9.10055153892602e-05,5.46033092335561e-06,4.55027576946301e-06,0.900900900900901,0.0540540540540541,0.045045045045045,0.000101016122082079
49,"AMV Reverse Transcriptase","Regular","DNA-1",937082,9,5,117,4,884421,19,2,4,9,921392,1,5,3,5,878043,15,4,13,1,4,0,3621121,183,14,4,5.05368365210663e-05,3.86620607264988e-06,1.10463030647139e-06,0.91044776119403,0.0696517412935323,0.0199004975124378,5.55076729001875e-05
50,"AMV Reverse Transcriptase","Regular","DNA-2",516278,4,1,53,6,485476,10,0,1,3,522181,1,1,0,0,475611,11,1,11,0,1,0,1999626,80,11,1,4.00074813990216e-05,5.50102869236547e-06,5.0009351748777e-07,0.869565217391304,0.119565217391304,0.0108695652173913,4.60086036088749e-05
51,"AMV Reverse Transcriptase","Regular","DNA-3",837986,4,3,108,3,817805,18,0,2,9,844071,0,7,0,1,821710,24,6,18,3,6,0,3321727,155,21,6,4.6662474068459e-05,6.3220126157267e-06,1.80628931877906e-06,0.851648351648352,0.115384615384615,0.032967032967033,5.47907760029647e-05
52,"AMV Reverse Transcriptase","Regular","DNA-4",572676,3,2,66,0,537112,13,0,0,7,557355,0,6,2,2,533522,4,5,4,0,3,1,2200766,101,4,4,4.58931117619956e-05,1.81754898067309e-06,1.81754898067309e-06,0.926605504587156,0.036697247706422,0.036697247706422,4.95282097233418e-05
53,"AMV Reverse Transcriptase","N6mA","DNA-1",1369818,18,6,185,4,1289843,41,2,3,14,1350442,1,7,1,3,1281973,14,6,8,3,2,1,5292361,285,11,3,5.38512017604241e-05,2.07846743636725e-06,5.66854755372886e-07,0.953177257525084,0.0367892976588629,0.0100334448160535,5.64965239521643e-05
54,"AMV Reverse Transcriptase","N6mA","DNA-2",581984,5,1,79,4,543082,15,1,3,3,589566,0,4,0,0,531241,2,3,2,0,0,1,2245988,115,2,1,5.12024106985434e-05,8.90476707800754e-07,4.45238353900377e-07,0.974576271186441,0.0169491525423729,0.00847457627118644,5.25381257602445e-05
55,"AMV Reverse Transcriptase","N6mA","DNA-3",959094,6,11,101,5,921469,32,2,4,4,967347,0,6,0,3,927215,17,10,17,0,10,0,3775299,174,17,10,4.60890647336807e-05,4.50295460041708e-06,2.64879682377475e-06,0.865671641791045,0.0845771144278607,0.0497512437810945,5.32408161578725e-05
56,"AMV Reverse Transcriptase","P-U","DNA-1",906058,9,6,117,3,819146,30,4,5,13,895829,1,7,4,0,816231,10,0,8,1,0,0,3437463,199,9,0,5.78915322143104e-05,2.61820999964218e-06,0,0.956730769230769,0.0432692307692308,0,6.05097422139526e-05
57,"AMV Reverse Transcriptase","P-U","DNA-2",1003975,9,10,110,8,933690,25,2,2,6,1014098,0,8,0,2,915466,10,3,10,0,3,0,3867411,182,10,3,4.7059906485243e-05,2.58570914754082e-06,7.75712744262247e-07,0.933333333333333,0.0512820512820513,0.0153846153846154,5.0421328377046e-05
58,"AMV Reverse Transcriptase","P-U","DNA-3",1260338,9,8,122,12,1227467,29,1,4,17,1268015,1,11,2,8,1230912,19,11,19,0,9,1,4986956,224,19,10,4.49171799390249e-05,3.80993936982801e-06,2.0052312472779e-06,0.885375494071146,0.075098814229249,0.0395256916996047,5.07323505561308e-05
59,"AMV Reverse Transcriptase","P-U","DNA-4",472702,2,2,58,0,445783,15,0,2,5,460650,0,3,0,1,443154,4,2,2,1,2,0,1822377,88,3,2,4.82885813418409e-05,1.64620163665367e-06,1.09746775776911e-06,0.946236559139785,0.032258064516129,0.021505376344086,5.10322507362637e-05
60,"AMV Reverse Transcriptase","5mC","DNA-1",1219721,7,9,139,6,1076588,27,4,4,7,1204361,1,7,5,5,1075272,10,3,10,0,1,1,4576163,221,10,2,4.82937342922444e-05,2.18523684580291e-06,4.37047369160583e-07,0.948497854077253,0.0429184549356223,0.00858369098712446,5.09160185072079e-05
61,"AMV Reverse Transcriptase","5mC","DNA-2",385107,2,2,44,3,362469,4,0,0,4,388648,0,3,0,1,353923,8,0,8,0,0,0,1490210,63,8,0,4.22759208433711e-05,5.36837090074553e-06,0,0.887323943661972,0.112676056338028,0,4.76442917441166e-05
62,"AMV Reverse Transcriptase","5mC","DNA-3",1022388,5,7,124,10,1003278,25,2,4,5,1027601,0,11,0,1,1004390,5,6,5,0,4,1,4057851,194,5,5,4.78085567952101e-05,1.23217929884562e-06,1.23217929884562e-06,0.950980392156863,0.0245098039215686,0.0245098039215686,5.02729153929013e-05
63,"AMV Reverse Transcriptase","5mC","DNA-4",517274,4,3,58,0,484699,12,0,1,4,503420,0,2,0,0,481586,2,3,2,0,3,0,1987063,84,2,3,4.22734457840542e-05,1.00651061390605e-06,1.50976592085908e-06,0.943820224719101,0.0224719101123595,0.0337078651685393,4.47897223188193e-05
64,"AMV Reverse Transcriptase","5mU","DNA-1",587033,5,4,75,1,537147,12,1,3,8,580809,0,5,2,2,536945,10,0,6,2,0,0,2242052,118,8,0,5.2630358261093e-05,3.568159882108e-06,0,0.936507936507937,0.0634920634920635,0,5.6198518143201e-05
65,"AMV Reverse Transcriptase","5mU","DNA-2",723307,3,2,95,9,680918,24,0,1,5,729998,0,6,0,2,667690,13,1,13,0,1,0,2802060,147,13,1,5.24614033960729e-05,4.63944383774794e-06,3.5688029521138e-07,0.91304347826087,0.0807453416149068,0.0062111801242236,5.74577275290322e-05
66,"AMV Reverse Transcriptase","5mU","DNA-3",599706,2,4,73,4,588979,18,1,3,2,601883,1,1,0,1,588960,1,2,1,0,2,0,2379638,110,1,2,4.62255183351417e-05,4.20231984864925e-07,8.4046396972985e-07,0.973451327433628,0.00884955752212389,0.0176991150442478,4.74862142897365e-05
67,"AMV Reverse Transcriptase","5mU","DNA-4",647830,5,2,87,1,609728,12,0,1,7,630556,0,4,0,0,606173,3,5,3,0,2,1,2494406,119,3,3,4.77067486207137e-05,1.20269114169866e-06,1.20269114169866e-06,0.952,0.024,0.024,5.0112130904111e-05
68,"AMV Reverse Transcriptase","5hmU","DNA-1",1508282,10,6,186,9,1327325,38,6,7,14,1489624,1,13,3,5,1326129,17,12,17,0,2,3,5651658,298,17,5,5.27278897626148e-05,3.00796686565252e-06,8.84696136956624e-07,0.93125,0.053125,0.015625,5.66205527652239e-05
69,"AMV Reverse Transcriptase","5hmU","DNA-2",1738197,11,9,221,13,1658743,35,4,4,22,1754663,3,19,3,2,1627315,17,3,17,0,3,0,6779264,346,17,3,5.10379887846232e-05,2.50764684779941e-06,4.42525914317542e-07,0.945355191256831,0.046448087431694,0.00819672131147541,5.39881615467402e-05
70,"AMV Reverse Transcriptase","5hmU","DNA-3",554312,4,2,58,3,546925,15,1,4,7,555559,0,6,0,0,546400,5,4,5,0,4,0,2203296,100,5,4,4.53865481533121e-05,2.26932740766561e-06,1.81546192613249e-06,0.91743119266055,0.0458715596330275,0.036697247706422,4.94713374871102e-05
71,"Bst 2.0 DNA Polymerase","Regular","DNA-1",1837396,7,33,165,8,1702925,28,43,43,31,1811611,2,21,1,9,1699038,33,1,16,7,1,0,7051361,391,23,1,5.54502882493181e-05,3.26178166172459e-06,1.41816593988026e-07,0.942168674698795,0.055421686746988,0.00240963855421687,5.88538865050307e-05
72,"Bst 2.0 DNA Polymerase","Regular","DNA-2",923870,2,11,76,10,874436,27,21,28,18,932040,0,12,4,2,858539,45,6,4,17,4,1,3589096,211,21,5,5.87891769961015e-05,5.85105553041769e-06,1.39310845962326e-06,0.890295358649789,0.0886075949367088,0.0210970464135021,6.60333409861425e-05
73,"Bst 3.0 DNA Polymerase","Regular","DNA-1",2281684,11,10,204,8,2126339,28,60,42,43,2248144,4,19,0,5,2119600,34,5,24,5,5,0,8776201,434,29,5,4.94519211672568e-05,3.30439104573836e-06,5.6972259409282e-07,0.927350427350427,0.061965811965812,0.0106837606837607,5.33260348070879e-05
74,"Bst 3.0 DNA Polymerase","Regular","DNA-2",1209061,7,18,110,11,1138231,24,39,46,38,1221091,6,33,4,9,1114558,75,53,25,17,10,6,4683286,345,42,16,7.36662249540173e-05,8.96806216831515e-06,3.41640463554863e-06,0.856079404466501,0.104218362282878,0.0397022332506204,8.60506917578811e-05
